antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'dizziness'}),frozenset({'diarrhea'}),0.8108108108108109,0.6216216216216216,0.5675675675675675,0.7,1.126086956521739,0.0635500365230095,1.261261261261261,0.5918367346938778
frozenset({'diarrhea'}),frozenset({'dizziness'}),0.6216216216216216,0.8108108108108109,0.5675675675675675,0.9130434782608695,1.126086956521739,0.0635500365230095,2.1756756756756737,0.29591836734693877
frozenset({'diarrhea'}),frozenset({'hives'}),0.6216216216216216,0.8918918918918919,0.5405405405405406,0.8695652173913044,0.9749670619235837,-0.013878743608473298,0.8288288288288295,-0.06354515050167207
frozenset({'hives'}),frozenset({'diarrhea'}),0.8918918918918919,0.6216216216216216,0.5405405405405406,0.6060606060606061,0.9749670619235837,-0.013878743608473298,0.9604989604989606,-0.19191919191919152
frozenset({'lips'}),frozenset({'diarrhea'}),0.8648648648648649,0.6216216216216216,0.5675675675675675,0.6562499999999999,1.0557065217391304,0.02994886778670558,1.1007371007371005,0.3904761904761901
frozenset({'diarrhea'}),frozenset({'lips'}),0.6216216216216216,0.8648648648648649,0.5675675675675675,0.9130434782608695,1.0557065217391304,0.02994886778670558,1.5540540540540526,0.13945578231292496
frozenset({'nausea'}),frozenset({'diarrhea'}),0.8108108108108109,0.6216216216216216,0.5675675675675675,0.7,1.126086956521739,0.0635500365230095,1.261261261261261,0.5918367346938778
frozenset({'diarrhea'}),frozenset({'nausea'}),0.6216216216216216,0.8108108108108109,0.5675675675675675,0.9130434782608695,1.126086956521739,0.0635500365230095,2.1756756756756737,0.29591836734693877
frozenset({'diarrhea'}),frozenset({'tongue'}),0.6216216216216216,0.8648648648648649,0.5405405405405406,0.8695652173913044,1.0054347826086958,0.0029218407596786067,1.0360360360360363,0.014285714285714329
frozenset({'tongue'}),frozenset({'diarrhea'}),0.8648648648648649,0.6216216216216216,0.5405405405405406,0.625,1.0054347826086958,0.0029218407596786067,1.0090090090090091,0.04000000000000014
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.6216216216216216,0.7027027027027027,0.5405405405405406,0.8695652173913044,1.2374581939799332,0.10372534696859026,2.2792792792792804,0.5071428571428573
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.7027027027027027,0.6216216216216216,0.5405405405405406,0.7692307692307693,1.2374581939799332,0.10372534696859026,1.63963963963964,0.6454545454545458
frozenset({'difficult breathing'}),frozenset({'hives'}),0.5675675675675675,0.8918918918918919,0.5675675675675675,1.0,1.1212121212121213,0.06135865595325052,inf,0.2499999999999999
frozenset({'hives'}),frozenset({'difficult breathing'}),0.8918918918918919,0.5675675675675675,0.5675675675675675,0.6363636363636364,1.1212121212121213,0.06135865595325052,1.1891891891891893,0.9999999999999996
frozenset({'lips'}),frozenset({'difficult breathing'}),0.8648648648648649,0.5675675675675675,0.5135135135135135,0.5937499999999999,1.0461309523809523,0.02264426588750912,1.0644490644490643,0.32631578947368417
frozenset({'difficult breathing'}),frozenset({'lips'}),0.5675675675675675,0.8648648648648649,0.5135135135135135,0.9047619047619048,1.0461309523809523,0.02264426588750912,1.4189189189189184,0.10197368421052626
frozenset({'difficult breathing'}),frozenset({'tongue'}),0.5675675675675675,0.8648648648648649,0.5135135135135135,0.9047619047619048,1.0461309523809523,0.02264426588750912,1.4189189189189184,0.10197368421052626
frozenset({'tongue'}),frozenset({'difficult breathing'}),0.8648648648648649,0.5675675675675675,0.5135135135135135,0.5937499999999999,1.0461309523809523,0.02264426588750912,1.0644490644490643,0.32631578947368417
frozenset({'fever'}),frozenset({'dizziness'}),0.5945945945945946,0.8108108108108109,0.5135135135135135,0.8636363636363635,1.065151515151515,0.03140978816654483,1.387387387387386,0.15087719298245572
frozenset({'dizziness'}),frozenset({'fever'}),0.8108108108108109,0.5945945945945946,0.5135135135135135,0.6333333333333333,1.065151515151515,0.03140978816654483,1.1056511056511056,0.3233082706766908
frozenset({'headache'}),frozenset({'dizziness'}),0.6486486486486487,0.8108108108108109,0.5675675675675675,0.8749999999999999,1.0791666666666664,0.041636230825419895,1.5135135135135118,0.20879120879120824
frozenset({'dizziness'}),frozenset({'headache'}),0.8108108108108109,0.6486486486486487,0.5675675675675675,0.7,1.0791666666666666,0.041636230825419895,1.171171171171171,0.3877551020408153
frozenset({'dizziness'}),frozenset({'hives'}),0.8108108108108109,0.8918918918918919,0.7027027027027027,0.8666666666666667,0.9717171717171718,-0.020452885317750136,0.8108108108108111,-0.13333333333333305
frozenset({'hives'}),frozenset({'dizziness'}),0.8918918918918919,0.8108108108108109,0.7027027027027027,0.787878787878788,0.9717171717171718,-0.020452885317750136,0.891891891891892,-0.2121212121212116
frozenset({'lips'}),frozenset({'dizziness'}),0.8648648648648649,0.8108108108108109,0.6756756756756757,0.7812499999999999,0.9635416666666665,-0.025566106647187836,0.8648648648648642,-0.2187500000000008
frozenset({'dizziness'}),frozenset({'lips'}),0.8108108108108109,0.8648648648648649,0.6756756756756757,0.8333333333333333,0.9635416666666665,-0.025566106647187836,0.8108108108108102,-0.1666666666666673
frozenset({'nausea'}),frozenset({'dizziness'}),0.8108108108108109,0.8108108108108109,0.7027027027027027,0.8666666666666667,1.0688888888888888,0.04528853177501824,1.4189189189189189,0.34065934065934056
frozenset({'dizziness'}),frozenset({'nausea'}),0.8108108108108109,0.8108108108108109,0.7027027027027027,0.8666666666666667,1.0688888888888888,0.04528853177501824,1.4189189189189189,0.34065934065934056
frozenset({'swelling of face'}),frozenset({'dizziness'}),0.7567567567567568,0.8108108108108109,0.6216216216216216,0.8214285714285714,1.013095238095238,0.008035062089116085,1.059459459459459,0.05314009661835711
frozenset({'dizziness'}),frozenset({'swelling of face'}),0.8108108108108109,0.7567567567567568,0.6216216216216216,0.7666666666666666,1.013095238095238,0.008035062089116085,1.042471042471042,0.06832298136645916
frozenset({'throat'}),frozenset({'dizziness'}),0.7567567567567568,0.8108108108108109,0.6216216216216216,0.8214285714285714,1.013095238095238,0.008035062089116085,1.059459459459459,0.05314009661835711
frozenset({'dizziness'}),frozenset({'throat'}),0.8108108108108109,0.7567567567567568,0.6216216216216216,0.7666666666666666,1.013095238095238,0.008035062089116085,1.042471042471042,0.06832298136645916
frozenset({'dizziness'}),frozenset({'tongue'}),0.8108108108108109,0.8648648648648649,0.6756756756756757,0.8333333333333333,0.9635416666666665,-0.025566106647187836,0.8108108108108102,-0.1666666666666673
